Brand,Product,Viscosity,API,ACEA,JASO,VehicleTypes,FuelTypes,minCylinders,maxCylinders,minPower,maxPower,DPFCompatible,TurboCompatible,HybridCompatible,OEMApprovals,Applications,OfficialSource,TDS_URL
Motul,8100 X-cess 5W-40,5W-40,NA,A3/B4,-,Automobile,Essence;Diesel,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,MB 229.5;VW 502.00/505.00;Porsche A40;Renault RN0700/0710;Fiat 9.55535-G2/N2;GM-LL-B025,"Mercedes-Benz;VW Group;Audi;Porsche;Renault;Fiat;Alfa Romeo;Opel/GM;European passenger cars",https://azupim01.motul.com/media/motulData/DO/base/8100_x-cess_gen2_5w-40_en_fr_motul_20200423.pdf,https://azupim01.motul.com/media/motulData/DO/base/8100_x-cess_gen2_5w-40_en_fr_motul_20200423.pdf
Motul,8100 X-cess Gen2 0W-30,0W-30,NA,C2,-,Automobile;Hybrid,Essence;Diesel;Hybrid,NULL,NULL,NULL,NULL,TRUE,TRUE,TRUE,MB 229.52;Fiat 9.55535-S1;Ford WSS-M2C950-A1;Jaguar Land Rover STJLR 03.5005;Volvo RBS0-2AE;GM dexos2,"Mercedes-Benz;Fiat;Ford;Jaguar;Land Rover;Volvo;GM;Hybrid vehicles;Fuel economy;Low SAPS",https://azupim01.motul.com/media/motulData/DO/base/8100_x-cess_gen2_5w-40_en_fr_motul_20200423.pdf,https://azupim01.motul.com/media/motulData/DO/base/8100_x-cess_gen2_5w-40_en_fr_motul_20200423.pdf
Motul,Specific 912.505 5W-40,5W-40,NA,NA,-,Automobile,Essence;Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,MB 229.51/229.31;BMW LL-04;VW 505.01;Porsche C30;Renault RN0700/0710,"Mercedes-Benz;BMW;VW PD engines;Porsche;Renault;DPF compatible;Turbo diesel;Direct injection",https://www.motul.com/en-US/products/17720,https://azupim01.motul.com/media/motulData/DO/base/8100_x-clean__5w-30_en_fr_motultech_17720_20221213.pdf
Motul,Specific 229.52 5W-30,5W-30,NA,C5,-,Automobile;Hybrid,Essence;Diesel;Hybrid,NULL,NULL,NULL,NULL,TRUE,TRUE,TRUE,MB 229.52;Ford WSS-M2C950-A1;Jaguar Land Rover STJLR 03.5005;Volvo RBS0-2AE,"Mercedes-Benz latest generation;Ford;Jaguar;Land Rover;Volvo;Hybrid vehicles;Fuel economy;Low HTHS",https://www.motul.com/en-US/products/17720,https://azupim01.motul.com/media/motulData/DO/base/8100_x-clean__5w-30_en_fr_motultech_17720_20221213.pdf
Motul,Clean+ Tech 5W-30,5W-30,NA,C3,-,Automobile,Essence;Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,MB 229.51;BMW LL-04;VW 504 00/507 00;Porsche C30;Renault RN0700/0710;Fiat 9.55535-S2,"Mercedes-Benz;BMW;VW Group;Audi;Porsche;Renault;Fiat;DPF compatible;Emissions systems",https://www.motul.com/en-US/products/17720,https://azupim01.motul.com/media/motulData/DO/base/8100_x-clean__5w-30_en_fr_motultech_17720_20221213.pdf
Motul,300V 10W-50,10W-50,NA,NA,-,Automobile;Moto,Essence;E85;Ethanol,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,NA,"Racing cars;Rally;GT;Historic racing;Track use;Racing motorcycles;4-stroke;2-stroke;Turbocharged;Supercharged;Direct injection;Biofuel compatible (E85)",https://azupim01.motul.com/media/motulData/DO/base/300V_COMP_5W-40_en_FR_motul_13311_20210916.pdf,https://azupim01.motul.com/media/motulData/DO/base/300V_COMP_5W-40_en_FR_motul_13311_20210916.pdf
Motul,300V 0W-20,0W-20,NA,NA,-,Automobile,Essence;E85;Hybrid,NULL,NULL,NULL,NULL,FALSE,TRUE,TRUE,NA,"Racing cars;Rally;Hybrid racing;Fuel economy racing;E85 biofuel;Japanese manufacturers racing;Track use;High performance",https://azupim01.motul.com/media/motulData/DO/base/300V_COMP_5W-40_en_FR_motul_13311_20210916.pdf,https://azupim01.motul.com/media/motulData/DO/base/300V_COMP_5W-40_en_FR_motul_13311_20210916.pdf
Motul,300V 2T Factory Line,NA,NA,NA,NA,Moto,Essence,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,NA,"2-stroke racing motorcycles;High performance;Road racing;Off-road racing;Karting;Water-cooled;Air-cooled;Oil injection;Premix systems",https://azupim01.motul.com/media/motulData/DO/base/300V_4T_Factory_Line_10W-40__en_FR_motul_20210324.pdf,https://azupim01.motul.com/media/motulData/DO/base/300V_4T_Factory_Line_10W-40__en_FR_motul_20210324.pdf
Motul,Geo 5W-30,5W-30,NA,C3,-,Automobile;Agricole,Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,MB 228.51;MAN 3575;Cummins 20081;Volvo VDS-4.5;Renault Trucks RLD-3;DAF;Scania;IVECO;FPT 9.55647;CAT ECF-3;JASO DH-2,"Heavy-duty trucks;Buses;Agricultural equipment;Construction machinery;Mining;Logging;Euro IV/V/VI;DPF;SCR;EGR;Low SAPS;Extended drain",https://azupim01.motul.com/media/motulData/DO/base/tekma_ultima_5w-30_ls_en_fr_motul_70804_20250327.pdf,https://azupim01.motul.com/media/motulData/DO/base/tekma_ultima_5w-30_ls_en_fr_motul_70804_20250327.pdf
Yacco,LUBE RN-17 5W-30,5W-30,NA,C3,-,Automobile,Essence;Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,Renault RN17;RN0710;RN0700;MB 226.52,"Renault;Nissan;Dacia passenger cars;2018+ engines;DPF compatible",https://www.yacco.com/upload/media/default/0001/13/fac4ceb7dc1c061c07f0a709284e6e97c2536418.pdf,https://yacco.ee/wp-content/uploads/2022/02/FTE-3073-LUBE-RN-17-5W30-50-2019.pdf
Yacco,LUBE FR 5W-40,5W-40,SN/CF,A3/B4,-,Automobile,Essence;Diesel,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,PSA B71 2296;Renault RN0710/0700;MB 229.3/226.5;Porsche A40;VW 502.00/505.00;GM-LL-B025,"PSA Group (Peugeot/Citroën/DS);Renault Group;Opel/GM;Mercedes;VW;Porsche",https://fr.yacco.com/upload/media/default/0001/03/7a1b6acafc3b682860adbb7976486ee99d487c96.pdf,https://fr.yacco.com/upload/media/default/0001/03/7a1b6acafc3b682860adbb7976486ee99d487c96.pdf
Yacco,LUBE GDI 5W-30,5W-30,SP,GF-6,-,Automobile,Essence,NULL,NULL,NULL,NULL,FALSE,TRUE,FALSE,ILSAC GF-6;dexos1,"Gasoline direct injection engines;Passenger cars;SUVs;Resource conserving",https://yacco.ee/wp-content/uploads/2022/02/FTE-3069-LUBE-GDI-5W-30-02-2021.pdf,https://yacco.ee/wp-content/uploads/2022/02/FTE-3069-LUBE-GDI-5W-30-02-2021.pdf
Yacco,LUBE O 5W-30,5W-30,NA,NA,-,Automobile;Poids Lourd,Essence;Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,VW 504 00/507 00;BMW LL-04;MB 229.51;ACEA C3,"Passenger cars;SUVs;Light commercial vehicles;Euro IV/V/VI;DPF;EGR;Extended drain intervals",https://www.yacco.ee/wp-content/uploads/2017/06/1403783538_LUBE_O_5W_30_EE_25_2012.pdf,https://www.yacco.ee/wp-content/uploads/2017/06/1403783538_LUBE_O_5W_30_EE_25_2012.pdf
Yacco,ATF Z8&9HP,NA,NA,NA,-,Automobile;Poids Lourd,NA,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,ZF TE-ML 04D;ZF 8HP/9HP,"Automatic transmissions;Passenger cars;Light commercial vehicles;ZF 8-speed and 9-speed transmissions;BMW;Audi;Jeep;Chrysler",https://yacco.cz/files/product_file/881-aucsh-s0galy.pdf,https://yacco.cz/files/product_file/881-aucsh-s0galy.pdf
Yacco,LUBE RN-17 FE 0W-20,0W-20,NA,C5,-,Automobile;Hybrid,Essence;Diesel;Hybrid,NULL,NULL,NULL,NULL,TRUE,TRUE,TRUE,Renault RN17;MB 226.52;Fiat 9.55535-S1,"Renault Group;Nissan;Dacia;Mercedes-Benz vehicles with Renault engines;Fiat;Hybrid vehicles;Fuel economy;Low viscosity",https://www.yacco-bulgaria.com/uploads/yacco/products/cars/lube/LUBE%20RN-17%20FE%200W-20/LUBE%20RN-17%20FE%200W20%20BG.pdf,https://www.yacco-bulgaria.com/uploads/yacco/products/cars/lube/LUBE%20RN-17%20FE%200W-20/LUBE%20RN-17%20FE%200W20%20BG.pdf
Yacco,XAS3 43,NA,NA,NA,-,Agricole,NA,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,NH 520;Fiat FNHA-2-E-161.1;JDM J20C,"New Holland;Case IH;Fiatagri;Agricultural tractors;Combine harvesters;Hydraulic systems;Transmissions;Wet brakes;Common sump",https://yacco.cz/files/product_file/881-aucsh-s0galy.pdf,https://yacco.cz/files/product_file/881-aucsh-s0galy.pdf
Yacco,ATF DEX III,NA,NA,NA,-,Automobile;Poids Lourd,NA,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,Dexron III;Allison C4;ZF TE-ML 04D;MAN 339;Voith 55.6335,"Automatic transmissions;Passenger cars;Light commercial vehicles;Heavy-duty trucks;Buses;ZF;Allison;Voith transmissions",https://yacco.cz/files/product_file/881-aucsh-s0galy.pdf,https://yacco.cz/files/product_file/881-aucsh-s0galy.pdf
Yacco,TRUCK 15W-40,15W-40,CH-4/SJ,NA,-,Poids Lourd;Agricole,Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,MB 228.5;MAN M3275;Volvo VDS-3;Cummins 20076;CAT ECF-2;Mack EO-M/EO-N Plus;Renault Trucks RLD-2,"Heavy-duty trucks;Buses;Agricultural equipment;Construction machinery;Mining;Logging;Euro III;EGR engines;DPF compatible",https://www.yacco.com/en/our-products/automobile,https://www.yacco.ee/wp-content/uploads/2017/06/1403783538_LUBE_O_5W_30_EE_25_2012.pdf
Yacco,LUBE S/03 5W-30,5W-30,NA,NA,-,Automobile,Essence;Diesel,NULL,NULL,NULL,NULL,TRUE,TRUE,FALSE,VW 504 00/507 00;BMW LL-04;MB 229.51;ACEA C3;Fiat 9.55535-S2,"VW Group;Audi;BMW;Mercedes-Benz;Fiat;Renault;Passenger cars;SUVs;Light commercial vehicles;Long-life service;DPF compatible",https://www.yacco.com/en/our-products/automobile,https://www.yacco.ee/wp-content/uploads/2017/06/1403783538_LUBE_O_5W_30_EE_25_2012.pdf
